SCHOOL_YEAR,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,Revenues/Expenditures,Description,REV_EXP_VALUE,Dollars per FTE
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Instruction,2196156.63,6033.4
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Instructional Support,4660.67,12.8
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Maintenance and Operations,166221.16,456.65
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Media,79094.43,217.29
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Pupil Services,74515.04,204.71
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,School Administration,202810.63,557.17
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Instruction,3115166.8,5612.91
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Instructional Support,109799.89,197.84
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Maintenance and Operations,240386.4,433.13
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Media,90857.48,163.71
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Pupil Services,80411.82,144.89
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,School Administration,297915.36,536.78
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,601,Appling County,177,Appling County Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,Debt Services,0,0
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,General Administration,0,0
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,Instruction,5358579.82,5507.28
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,Instructional Support,183472.67,188.56
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,Maintenance and Operations,695051.74,714.34
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,Media,123182.45,126.6
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,Pupil Services,379213.71,389.74
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,School Administration,366623.69,376.8
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,School food Services,0,0
2015-16,601,Appling County,103,Appling County High School,K-12 Expenditures,Transportation,0,0
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Debt Services,0,0
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,General Administration,0,0
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Instruction,4348547.49,5805.8
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Instructional Support,62311.47,83.19
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Maintenance and Operations,310087.89,414
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Media,106181.38,141.76
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Pupil Services,150843.35,201.39
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,School Administration,266799.6,356.21
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,School food Services,0,0
2015-16,601,Appling County,195,Appling County Middle School,K-12 Expenditures,Transportation,0,0
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,Debt Services,0,0
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,General Administration,0,0
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,Instruction,4409243.93,7448.05
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,Instructional Support,10710.64,18.09
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,Maintenance and Operations,273499.54,461.99
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,Media,75424.4,127.41
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,Pupil Services,135506.79,228.9
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,School Administration,315645.57,533.19
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,School food Services,0,0
2015-16,601,Appling County,277,Appling County Primary School,K-12 Expenditures,Transportation,0,0
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Instruction,996582.99,5630.41
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Instructional Support,2706.34,15.29
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Maintenance and Operations,114166.86,645.01
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Media,28197.48,159.31
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Pupil Services,62165.31,351.22
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,School Administration,137211.21,775.2
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,601,Appling County,5050,Fourth District Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Debt Services,0,0
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,General Administration,536849.84,323.99
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Instruction,9131779.67,5511.03
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Instructional Support,330805.63,199.64
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,1192254.85,719.53
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Media,348675.65,210.43
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Pupil Services,356037.56,214.87
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,School Administration,1059277.63,639.27
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,School food Services,12384.21,7.47
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Expenditures,Transportation,665429.3,401.59
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Revenues,Federal,0,0
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Revenues,Local,2670185.52,1611.46
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Revenues,Other,67116.2,40.5
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Revenues,State Other,58115.13,35.07
2015-16,602,Atkinson County,ALL,All Column Values,K-12 Revenues,State QBE,11629935.2,7018.67
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,Debt Services,0,0
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,General Administration,492,1.09
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,Instruction,2243024.08,4951.49
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,Instructional Support,52098.98,115.01
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,Maintenance and Operations,284452.29,627.93
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,Media,111382.03,245.88
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,Pupil Services,185248.35,408.94
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,School Administration,338203.28,746.59
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,School food Services,0,0
2015-16,602,Atkinson County,103,Atkinson County High School,K-12 Expenditures,Transportation,0,0
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,Debt Services,0,0
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,General Administration,492,1.29
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,Instruction,1914099.41,5010.73
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,Instructional Support,20333.05,53.23
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,Maintenance and Operations,141944.77,371.58
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,Media,3812.5,9.98
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,Pupil Services,38295.37,100.25
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,School Administration,234669.93,614.32
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,School food Services,0,0
2015-16,602,Atkinson County,111,Atkinson County Middle School,K-12 Expenditures,Transportation,597.75,1.56
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,General Administration,492,0.8
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,Instruction,3580567.12,5850.6
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,Instructional Support,16541.87,27.03
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,Maintenance and Operations,226676.28,370.39
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,Media,131983.86,215.66
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,Pupil Services,76999.86,125.82
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,School Administration,318566.04,520.53
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,602,Atkinson County,190,Pearson Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,General Administration,492,2.51
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,Instruction,1394089.06,7112.7
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,Instructional Support,11575.35,59.06
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,Maintenance and Operations,142364.71,726.35
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,Media,101497.26,517.84
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,Pupil Services,51038.16,260.4
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,School Administration,162663.38,829.92
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,602,Atkinson County,187,Willacoochee Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,Debt Services,0,0
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,General Administration,0,0
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,Instruction,2230481.76,13600.5
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,Instructional Support,0,0
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,Maintenance and Operations,117921.97,719.04
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,Media,90465.95,551.62
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,Pupil Services,244579.07,1491.34
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,School Administration,1204063.12,7341.85
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,School food Services,0,0
2015-16,761,Atlanta Public Schools,403,APS-Forrest Hills Academey,K-12 Expenditures,Transportation,0,0
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,Debt Services,0,0
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,General Administration,0,0
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,Instruction,2849221.13,7597.92
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,Instructional Support,24096.91,64.26
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,Maintenance and Operations,0,0
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,Media,93142.47,248.38
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,Pupil Services,110300.25,294.13
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,School Administration,377740.95,1007.31
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,School food Services,0,0
2015-16,761,Atlanta Public Schools,413,Adamsville Primary School,K-12 Expenditures,Transportation,972,2.59
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Debt Services,2379265.35,46.8
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,General Administration,18638056.63,366.62
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Instruction,452366254.1,8898.37
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Instructional Support,33108364.87,651.27
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,73930106.5,1454.26
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Media,12170999.49,239.41
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Pupil Services,28262872.99,555.95
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,School Administration,41542150.46,817.16
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,School food Services,362898.93,7.14
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Expenditures,Transportation,27653888.11,543.97
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,Federal,1156561.78,22.75
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,Local,516438635,10158.72
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,Other,4177804.03,82.18
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,State Other,2714463.07,53.4
2015-16,761,Atlanta Public Schools,ALL,All Column Values,K-12 Revenues,State QBE,185258033,3644.16
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,Debt Services,0,0
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,General Administration,0,0
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,Instruction,3064867,13153.94
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,Instructional Support,0,0
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,Maintenance and Operations,0,0
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,Media,0,0
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,Pupil Services,0,0
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,School Administration,0,0
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,School food Services,0,0
2015-16,761,Atlanta Public Schools,206,Atlanta Charter Middle School,K-12 Expenditures,Transportation,0,0
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,Debt Services,0,0
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,General Administration,0,0
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,Instruction,5183186,9616.3
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,Instructional Support,0,0
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,Maintenance and Operations,0,0
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,Media,0,0
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,Pupil Services,0,0
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,School Administration,0,0
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,School food Services,0,0
2015-16,761,Atlanta Public Schools,415,Atlanta Classical Academy,K-12 Expenditures,Transportation,0,0
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Debt Services,0,0
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,General Administration,0,0
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Instruction,3020958.44,7826.32
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Instructional Support,0,0
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Maintenance and Operations,115916.83,300.3
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Media,106446.71,275.77
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Pupil Services,115103.07,298.19
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,School Administration,396448.02,1027.07
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,School food Services,0,0
2015-16,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,K-12 Expenditures,Transportation,3093,8.01
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Instruction,2748119.3,9010.23
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Instructional Support,16351.95,53.61
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Maintenance and Operations,96601.43,316.73
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Media,100642.51,329.98
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Pupil Services,221243,725.39
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,School Administration,292670.02,959.57
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,Instruction,2215827.31,7265.01
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,Instructional Support,112531.43,368.96
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,Maintenance and Operations,114056.25,373.95
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,Media,9533.79,31.26
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,Pupil Services,178947.91,586.71
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,School Administration,363426.6,1191.56
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,761,Atlanta Public Schools,5051,Benteen Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,General Administration,0,0
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,Instruction,3088894.47,6215.08
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,Instructional Support,970.56,1.95
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,Maintenance and Operations,94860.09,190.87
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,Media,90568.88,182.23
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,Pupil Services,66655.63,134.12
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,School Administration,397452.2,799.7
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,School food Services,0,0
2015-16,761,Atlanta Public Schools,1052,Bethune Elementary School,K-12 Expenditures,Transportation,0,0
2015-16,761,Atlanta Public Schools,303,Bolton Academy,K-12 Expenditures,Debt Services,0,0
2015-16,761,Atlanta Public Schools,303,Bolton Academy,K-12 Expenditures,General Administration,0,0
2015-16,761,Atlanta Public Schools,303,Bolton Academy,K-12 Expenditures,Instruction,3944883.96,7415.2
2015-16,761,Atlanta Public Schools,303,Bolton Academy,K-12 Expenditures,Instructional Support,32190,60.51
