Agency ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2017-18,"Total Students, All Grades (Excludes AE) [Public School] 2017-18",Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2017-18,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Total Race/Ethnicity [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19
1302400,ALTAMA ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,536,470,293,35,505,434,NA,130240000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Altama Elementary School,Glynn County,13127,31525,Brunswick,27,489,6,68,288,93,5,2
1300060,ALTAMAHA ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,423,382,171,0,382,311,NA,130006000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Altamaha Elementary School,Appling County,13001,31513,Baxley,11,428,1,348,39,28,1,0
1304380,ALTERNATIVE EDUCATION,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130438000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304380,ALTERNATIVE EDUCATION CENTER AT LAMAR,GEORGIA,12-City: Mid-size,144,139,141,0,139,53,91,130438000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,6th Grade,Alternative Education Center at Lamar,Richmond County,13245,30904,Augusta,1,147,1,6,136,3,0,0
1302610,ALTERNATIVE LEARNING CENTER,GEORGIA,NA,NA,NA,NA,NA,NA,NA,NA,130261000000,NA,NA,12th Grade,7th Grade,Alternative Learning Center,Hall County,13139,30504,Gainesville,2,51,0,16,4,29,0,0
1304220,ALTERNATIVE LEARNING CENTER,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130422000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300290,ALTERNATIVE SCHOOL,Georgia,31-Town: Fringe,NA,NA,NA,NA,NA,NA,NA,130029000000,NA,No,NA,NA,Alternative School,Barrow County,13013,30620,Bethlehem,NA,NA,NA,NA,NA,NA,NA,NA
1302190,ALTO PARK ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,485,331,215,0,331,365,NA,130219000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Alto Park Elementary School,Floyd County,13115,30165,Rome,30,447,0,221,32,157,7,0
1302280,AMANA ACADEMY SCHOOL,Georgia,13-City: Small,699,307,132,67,374,625,NA,130228000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,Amana Academy School,Fulton County,13121,30009,Alpharetta,37,694,2,150,289,95,120,1
1301350,AMBROSE ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,413,370,209,0,370,309,NA,130135000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Ambrose Elementary School,Coffee County,13069,31512,Ambrose,12,421,0,211,54,143,0,1
1304620,AMERICUS SUMTER 9TH GRADE ACADEMY,Georgia,32-Town: Distant,275,271,169,0,271,NA,275,130462000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),9th Grade,9th Grade,Americus Sumter 9th Grade Academy,Sumter County,13261,31719,Americus,8,265,0,23,201,31,2,0
1304620,AMERICUS SUMTER HIGH SCHOOL (OLD AMERICUS-SUMTER HS S),Georgia,32-Town: Distant,875,860,422,0,860,NA,875,130462000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Americus Sumter High School (Old Americus-Sumter HS S),Sumter County,13261,31709,Americus,12,808,0,63,662,66,5,0
1301230,ANDERSON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,567,564,305,0,564,457,NA,130123000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Anderson Elementary School,Clayton County,13063,30288,Conley,23,566,1,21,303,213,3,2
1302550,ANDERSON-LIVSEY ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,792,551,306,56,607,665,NA,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Anderson-Livsey Elementary School,Gwinnett County,13135,30039,Snellville,36,749,1,46,490,163,13,0
1301020,ANDREA B WILLIAMS ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,455,398,256,16,414,323,NA,130102000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Andrea B Williams Elementary School,Chatham County,13051,31404,Savannah,23,601,0,5,566,4,3,0
1302490,ANITA WHITE CARSON MIDDLE SCHOOL,Georgia,32-Town: Distant,274,268,168,0,268,274,NA,130249000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Anita White Carson Middle School,Greene County,13133,30642,Greensboro,5,337,1,31,243,54,2,1
1304440,ANNA K. DAVIE ELEMENTARY,GEORGIA,13-City: Small,504,504,353,0,504,372,NA,130444000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),6th Grade,Prekindergarten,Anna K. Davie Elementary,Floyd County,13115,30161,Rome,18,439,0,56,292,73,0,0
1302520,ANNE STREET ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,429,389,246,23,412,318,NA,130252000000,5-Title I schoolwide school,Yes under Provision 2,5th Grade,Prekindergarten,Anne Street Elementary School,Spalding County,13255,30224,Griffin,21,410,0,13,350,23,1,2
1301860,ANNETTE WINN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,441,330,179,38,368,362,NA,130186000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Annette Winn Elementary School,Douglas County,13097,30122,Lithia Springs,22,462,1,46,244,145,2,2
1304980,ANNIE BELLE CLARK ELEMENTARY SCHOOL,Georgia,32-Town: Distant,735,709,338,0,709,568,NA,130498000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Annie Belle Clark Elementary School,Tift County,13277,31793,Tifton,20,667,0,329,222,87,9,0
1302550,ANNISTOWN ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,673,458,262,46,504,553,NA,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Annistown Elementary School,Gwinnett County,13135,30039,Snellville,32,695,0,36,418,182,26,1
1305700,ANTIOCH ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,517,369,52,67,436,342,NA,130570000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Antioch Elementary School,Whitfield County,13313,30721,Dalton,15,547,0,164,9,355,2,2
1300290,APALACHEE HIGH SCHOOL,Georgia,41-Rural: Fringe,1811,753,376,184,937,NA,1811,130029000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Apalachee High School,Barrow County,13013,30680,Winder,90,1887,2,1055,276,392,66,6
1300060,APPLING COUNTY ELEMENTARY SCHOOL,Georgia,33-Town: Remote,579,523,383,0,523,579,NA,130006000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,3rd Grade,Appling County Elementary School,Appling County,13001,31513,Baxley,27,551,0,242,158,121,3,0
1300060,APPLING COUNTY HIGH SCHOOL,Georgia,33-Town: Remote,1005,908,447,0,908,NA,1005,130006000000,6-Not a Title I school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Appling County High School,Appling County,13001,31513,Baxley,29,970,0,593,218,119,9,2
1300060,APPLING COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,784,709,394,0,709,784,NA,130006000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Appling County Middle School,Appling County,13001,31513,Baxley,33,795,0,438,193,125,6,0
1300060,APPLING COUNTY PRIMARY SCHOOL,Georgia,33-Town: Remote,646,584,303,0,584,308,NA,130006000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),2nd Grade,Prekindergarten,Appling County Primary School,Appling County,13001,31513,Baxley,25,673,0,305,177,161,5,0
1300420,APPLING MIDDLE SCHOOL,Georgia,12-City: Mid-size,559,554,346,0,554,559,NA,130042000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Appling Middle School,Bibb County,13021,31211,Macon,15,616,0,21,575,5,0,0
1300120,APS-FORREST HILLS ACADEMY,Georgia,11-City: Large,134,134,97,0,134,56,78,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,6th Grade,APS-Forrest Hills Academy,Fulton County,13121,30315,Atlanta,1,129,0,1,122,5,0,0
1301740,ARABIA MOUNTAIN HIGH SCHOOL - ACADEMY OF ENGINEERING- MEDIC,Georgia,41-Rural: Fringe,1417,585,226,136,721,NA,1417,130174000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Arabia Mountain High School - Academy of Engineering- Medic,DeKalb County,13089,30038,Lithonia,11,1341,0,2,1289,26,8,5
1301500,ARBOR SPRINGS ELEMENTARY,Georgia,21-Suburb: Large,453,102,64,25,127,362,NA,130150000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Arbor Springs Elementary,Coweta County,13077,30265,Newnan,16,457,0,350,41,42,7,1
1301860,ARBOR STATION ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,624,328,175,70,398,537,NA,130186000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Arbor Station Elementary School,Douglas County,13097,30135,Douglasville,43,664,0,143,359,105,14,0
1302550,ARCADO ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1003,482,219,71,553,862,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Arcado Elementary School,Gwinnett County,13135,30047,Lilburn,29,998,0,153,224,253,336,3
1302550,ARCHER HIGH SCHOOL,Georgia,21-Suburb: Large,2716,779,334,215,994,NA,2716,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Archer High School,Gwinnett County,13135,30045,Lawrenceville,101,2743,1,931,1233,396,81,0
1301290,ARGYLE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,421,344,95,24,368,342,NA,130129000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Argyle Elementary School,Cobb County,13067,30080,Smyrna,8,361,0,11,122,208,11,1
1302190,ARMUCHEE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,392,268,199,0,268,392,NA,130219000000,6-Not a Title I school,Yes under Community Eligibility Option (CEO),5th Grade,3rd Grade,Armuchee Elementary School,Floyd County,13115,30165,Rome,18,417,0,358,17,20,4,0
1302190,ARMUCHEE HIGH SCHOOL,Georgia,23-Suburb: Small,552,377,124,0,377,NA,552,130219000000,6-Not a Title I school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Armuchee High School,Floyd County,13115,30165,Rome,17,523,0,468,14,19,5,0
1302190,ARMUCHEE MIDDLE SCHOOL,Georgia,41-Rural: Fringe,402,275,132,0,275,402,NA,130219000000,6-Not a Title I school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Armuchee Middle School,Floyd County,13115,30105,Armuchee,19,422,0,360,14,26,3,0
1301500,ARNALL MIDDLE SCHOOL,Georgia,21-Suburb: Large,947,349,207,80,429,947,NA,130150000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Arnall Middle School,Coweta County,13077,30265,Newnan,48,927,0,389,304,143,39,4
1301500,ARNCO-SARGENT ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,398,225,146,28,253,315,NA,130150000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Arnco-Sargent Elementary School,Coweta County,13077,30263,Newnan,16,379,0,254,56,52,0,1
1301230,ARNOLD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,573,570,249,0,570,483,NA,130123000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Arnold Elementary School,Clayton County,13063,30236,Jonesboro,31,573,0,46,366,102,27,1
1303870,ARNOLD MIDDLE SCHOOL,Georgia,12-City: Mid-size,607,573,313,0,573,607,NA,130387000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Arnold Middle School,Muscogee County,13215,31904,Columbus,43,589,0,146,267,121,11,1
1301110,ARNOLD MILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,809,168,78,35,203,653,NA,130111000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Arnold Mill Elementary School,Cherokee County,13057,30188,Woodstock,37,807,0,602,38,121,9,0
1305550,ARTHUR WILLIAMS MIDDLE SCHOOL,Georgia,41-Rural: Fringe,641,416,312,48,464,641,NA,130555000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Arthur Williams Middle School,Wayne County,13305,31546,Jesup,32,621,0,389,144,48,6,2
1302280,ASA HILLIARD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,651,651,300,0,651,515,NA,130228000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Asa Hilliard Elementary School,Fulton County,13121,30344,East Point,8,581,2,3,506,57,5,0
1301740,ASHFORD PARK ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,550,99,35,12,111,423,NA,130174000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Ashford Park Elementary School,DeKalb County,13089,30319,Atlanta,43,649,1,387,84,94,39,1
1302430,ASHWORTH MIDDLE SCHOOL,Georgia,32-Town: Distant,650,420,147,72,492,650,NA,130243000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Ashworth Middle School,Gordon County,13129,30701,Calhoun,18,649,0,443,16,168,4,0
1305390,ATHA ROAD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,840,446,292,58,504,662,NA,130539000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Atha Road Elementary School,Walton County,13297,30655,Monroe,46,835,0,508,221,48,11,1
1300090,ATKINSON COUNTY HIGH SCHOOL,Georgia,43-Rural: Remote,488,337,104,54,391,NA,488,130009000000,5-Title I schoolwide school,Yes under Provision 2,12th Grade,9th Grade,Atkinson County High School,Atkinson County,13003,31642,Pearson,6,478,0,216,79,177,0,0
1300090,ATKINSON COUNTY MIDDLE SCHOOL,Georgia,43-Rural: Remote,356,255,102,50,305,356,NA,130009000000,5-Title I schoolwide school,Yes under Provision 2,8th Grade,6th Grade,Atkinson County Middle School,Atkinson County,13003,31642,Pearson,6,374,0,158,52,157,0,1
1301500,ATKINSON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,427,237,184,23,260,360,NA,130150000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Atkinson Elementary School,Coweta County,13077,30263,Newnan,27,401,1,195,122,52,3,1
1302520,ATKINSON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,468,416,299,28,444,339,NA,130252000000,5-Title I schoolwide school,Yes under Provision 2,5th Grade,Prekindergarten,Atkinson Elementary School,Spalding County,13255,30223,Griffin,23,466,0,26,389,26,0,2
1300480,ATKINSON ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,255,225,152,0,225,255,NA,130048000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),6th Grade,4th Grade,Atkinson Elementary School,Brantley County,13025,31566,Waynesville,7,254,0,231,9,7,0,0
1300225,ATLANTA AREA SCHOOL FOR THE DEAF,Georgia,21-Suburb: Large,169,96,36,20,116,70,91,130023000000,6-Not a Title I school,Yes under Provision 2,12th Grade,Prekindergarten,Atlanta Area School for the Deaf,DeKalb County,13089,30021,Clarkston,0,173,0,27,92,49,5,0
