,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,LEAID
10,ADAIRSVILLE HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,977,994.0,973.0,948.0,983,341,328,351,332,374,179,158.0,191,82,93,90,80,101,423,421.0,441,412,475,,,,,,977,994.0,973.0,948.0,983,130033000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Adairsville High School,Bartow County,13015.0,30103.0,Adairsville,32,15,977,983.0,0,0,801,869,66,48,71,47,6,3,1,1,1300330.0
11,ADAIRSVILLE MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,786,761.0,756.0,730.0,698,323,323,322,335,308,163,159.0,187,76,68,88,71,71,399,391.0,410,406,379,776,761.0,756.0,730.0,698,,,,,,130033000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Adairsville Middle School,Bartow County,13015.0,30103.0,Adairsville,30,18,786,698.0,0,0,659,606,30,33,63,36,3,4,1,1,1300330.0
12,ADAMSON MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,568,593.0,603.0,596.0,600,528,590,600,593,573,168,260.0,270,0,0,0,0,0,528,590.0,600,593,573,558,593.0,603.0,596.0,600,,,,,,130123000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Adamson Middle School,Clayton County,13063.0,30273.0,Rex,14,12,568,600.0,0,1,14,19,412,471,115,82,10,15,3,0,1301230.0
13,ADAMSVILLE PRIMARY SCHOOL,Georgia,,,11-City: Large,11-City: Large,11-City: Large,,,383.0,404.0,413,,,383,401,413,,,244,,,0,0,0,,,383,401,413,,,217.0,258.0,251,,,,,,130012000000.0,,,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,,,Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),,,,,,,,,2,,413.0,,0,,0,,396,,15,,0,,0,1300120.0
14,ADDISON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,597,631.0,613.0,617.0,597,132,166,181,169,136,56,69.0,82,27,38,27,27,43,159,204.0,208,196,179,487,514.0,495.0,507.0,493,,,,,,130129000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Addison Elementary School,Cobb County,13067.0,30066.0,Marietta,23,32,597,597.0,0,2,326,336,97,72,105,110,42,42,4,3,1301290.0
15,ADRIAN SCHOOL OF PERFORMING ARTS,Georgia,,,,,42-Rural: Distant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130204000000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1302040.0
16,ALBANY HIGH SCHOOL,Georgia,,,13-City: Small,13-City: Small,13-City: Small,,,808.0,837.0,831,,,808,834,831,,,805,,,0,0,0,,,808,834,831,,,,,,,,808.0,837.0,831,130183000000.0,,,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,,,Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),,,,,,,,,12,,831.0,,5,,56,,732,,7,,4,,15,1301830.0
17,ALBANY MIDDLE SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,982,988.0,797.0,750.0,625,982,589,797,747,625,665,589.0,794,0,0,0,0,0,982,589.0,797,747,625,972,988.0,797.0,750.0,625,,,,,,130183000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Albany Middle School,Dougherty County,13095.0,31705.0,Albany,13,5,982,625.0,0,1,31,30,919,576,15,9,0,4,4,0,1301830.0
18,ALBANY REGIONAL YOUTH DETENTION CENTER,Georgia,,,13-City: Small,13-City: Small,13-City: Small,,,4.0,1.0,5,,,,.,.,,,,,,,.,.,,,,.,.,,,1.0,1.0,4,,,3.0,,1,130003000000.0,,,6-Not a Title I school,2-Title I targeted assistance school,2-Title I targeted assistance school,,,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,,,,,,,,,0,,5.0,,0,,0,,5,,0,,0,,0,1300026.0
19,ALCOVA ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1426,1364.0,1308.0,1237.0,1156,717,707,685,668,592,222,335.0,289,153,151,128,98,129,870,858.0,813,766,721,1191,1111.0,1100.0,1036.0,988,,,,,,130255000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alcova Elementary School,Gwinnett County,13135.0,30019.0,Dacula,58,46,1426,1156.0,3,1,207,210,733,614,350,260,74,25,1,0,1302550.0
20,ALCOVY HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1934,1962.0,1993.0,1964.0,2029,932,1053,1081,1050,1044,584,623.0,657,201,206,195,204,188,1133,1259.0,1276,1254,1232,,,,,,1934,1962.0,1993.0,1964.0,2029,130393000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Alcovy High School,Newton County,13217.0,30014.0,Covington,77,80,1934,2029.0,0,0,610,780,1095,1065,139,86,11,15,2,3,1303930.0
21,ALEXANDER HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1828,1891.0,1805.0,1737.0,1729,569,606,570,554,530,271,325.0,290,130,112,105,96,111,699,718.0,675,650,641,,,,,,1828,1891.0,1805.0,1737.0,1729,130186000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Alexander High School,Douglas County,13097.0,30135.0,Douglasville,89,62,1828,1729.0,1,1,1020,1096,510,419,185,134,22,15,1,2,1301860.0
22,ALEXANDER II MAGNET SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,494,509.0,518.0,524.0,526,488,505,513,519,518,148,173.0,174,0,0,0,0,0,488,505.0,513,519,518,382,415.0,406.0,419.0,434,,,,,,130042000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alexander II Magnet School,Bibb County,13021.0,31201.0,Macon,22,19,494,526.0,0,1,61,165,381,317,17,14,12,10,1,0,1300420.0
23,ALFORD ELEMENTARY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,935,931.0,949.0,921.0,1005,630,665,641,653,691,233,343.0,289,98,106,129,96,116,728,771.0,770,749,807,781,764.0,795.0,774.0,837,,,,,,130255000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alford Elementary,Gwinnett County,13135.0,30044.0,Lawrenceville,29,21,935,1005.0,1,1,91,127,230,287,492,447,92,120,0,2,1302550.0
24,ALICE COACHMAN ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,506,499.0,517.0,567.0,560,506,347,517,564,560,349,337.0,396,0,0,0,0,0,506,347.0,517,564,560,390,421.0,411.0,430.0,425,,,,,,130183000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Alice Coachman Elementary School,Dougherty County,13095.0,31707.0,Albany,3,0,506,560.0,0,0,19,41,478,513,6,5,0,1,0,0,1301830.0
25,ALLATOONA ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,21-Suburb: Large,21-Suburb: Large,438,425.0,435.0,448.0,465,292,305,308,327,343,128,103.0,186,37,36,38,31,29,329,341.0,346,358,372,328,345.0,353.0,356.0,368,,,,,,130033000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Allatoona Elementary School,Bartow County,13015.0,30102.0,Acworth,23,15,438,465.0,0,0,246,314,23,19,145,115,0,2,1,0,1300330.0
26,ALLATOONA HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1731,1734.0,1715.0,1770.0,1820,202,209,243,247,286,77,79.0,89,88,94,81,78,84,290,303.0,324,325,370,,,,,,1731,1734.0,1715.0,1770.0,1820,130129000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Allatoona High School,Cobb County,13067.0,30101.0,Acworth,63,45,1731,1820.0,3,3,1095,1248,336,320,174,155,57,45,3,4,1301290.0
27,ALLEN ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,458,432.0,469.0,474.0,457,432,408,469,301,279,176,206.0,188,0,0,0,42,38,432,408.0,469,343,317,371,361.0,410.0,399.0,378,,,,,,130387000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Allen Elementary School,Muscogee County,13215.0,31904.0,Columbus,25,26,458,457.0,2,0,176,226,125,110,115,74,14,16,1,5,1303870.0
28,ALLGOOD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,587,555.0,598.0,578.0,647,587,477,514,520,510,306,302.0,313,0,21,29,29,37,587,498.0,543,549,547,430,416.0,443.0,433.0,490,,,,,,130174000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Allgood Elementary School,DeKalb County,13089.0,30083.0,Stone Mountain,9,9,587,647.0,0,0,5,10,472,580,34,31,64,17,3,0,1301740.0
29,ALLGOOD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,902,914.0,855.0,872.0,879,490,440,456,452,466,264,208.0,247,96,103,80,87,90,586,543.0,536,539,556,720,741.0,718.0,715.0,727,,,,,,130402000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Allgood Elementary School,Paulding County,13223.0,30157.0,Dallas,57,42,902,879.0,1,0,432,490,306,239,96,97,10,10,0,1,1304020.0
30,ALLIANCE ACADEMY FOR INNOVATION,GEORGIA,21-Suburb: Large,,,,,496,,,,,39,,,,,11,,,15,,,,,54,,,,,,,,,,492,,,,,130222000000.0,6-Not a Title I school,,,,,Yes participating without using any Provision or the CEO,,,,,10th Grade,9th Grade,Alliance Academy for Innovation,Forsyth County,13117.0,30040.0,Cumming,15,,496,,0,,240,,19,,59,,163,,0,,1302220.0
31,ALPHA ACADEMY,GEORGIA,,21-Suburb: Large,,,,,53.0,,,,,34,,,,,15.0,,,3,,,,,37.0,,,,,14.0,,,,,39.0,,,,130441000000.0,,2-Title I targeted assistance school,,,,,Yes participating without using any Provision or the CEO,,,,,,,,,,,,,,,,,,,,,,,,,,,1304410.0
