,SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
24097,2017-2018,13,GEORGIA,GA,West Point Elementary School,Troup County,1,,GA-741,1300001,GA-741-0187,130000000000.0,1301962,1701 E 12th St,,,West Point,GA,31833,,1701 E 12th St,,,West Point,GA,31833,,(706)812-7973,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24098,2017-2018,13,GEORGIA,GA,Troup County High School,Troup County,1,,GA-741,1300001,GA-741-0387,130000000000.0,1301964,1920 Hamilton Rd,,,Lagrange,GA,30241,,1920 Hamilton Rd,,,Lagrange,GA,30241,,(706)812-7957,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24099,2017-2018,13,GEORGIA,GA,Long Cane Elementary School,Troup County,1,,GA-741,1300001,GA-741-0189,130000000000.0,1302011,238 Long Cane Rd,,,Lagrange,GA,30240,,238 Long Cane Rd,,,Lagrange,GA,30240,,(706)812-7948,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24100,2017-2018,13,GEORGIA,GA,Callaway Middle School,Troup County,1,,GA-741,1300001,GA-741-0204,130000000000.0,1302443,2244 Hammett Rd,,,Lagrange,GA,30241,,2244 Hammett Rd,,,Lagrange,GA,30241,,(706)845-2080,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24101,2017-2018,13,GEORGIA,GA,Callaway High School,Troup County,1,,GA-741,1300001,GA-741-0201,130000000000.0,1302444,221 Whitfield Rd,,,Hogansville,GA,30230,,221 Whitfield Rd,,,Hogansville,GA,30230,,(706)845-2070,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24102,2017-2018,13,GEORGIA,GA,Franklin Forest Elementary,Troup County,1,,GA-741,1300001,GA-741-0205,130000000000.0,1303455,1 Scholar Ln,,,Lagrange,GA,30240,,1 Scholar Ln,,,Lagrange,GA,30240,,(706)845-7556,http://franklinforest.com,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24103,2017-2018,13,GEORGIA,GA,Bradfield Center - Ault Academy,Troup County,1,,GA-741,1300001,GA-741-0207,130000000000.0,1303620,1022 E Depot St,,,Lagrange,GA,30241,,1022 E Depot St,,,Lagrange,GA,30241,,(706)884-1717,,1,Open,1,Open,3/14/2018,Special Education School,2,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,6,11,Secondary,As reported
24104,2017-2018,13,GEORGIA,GA,Callaway Elementary School,Troup County,1,,GA-741,1300001,GA-741-0109,130000000000.0,1303789,2200 Hammett Rd,,,Lagrange,GA,30241,,2200 Hammett Rd,,,Lagrange,GA,30241,,(706)845-2059,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24105,2017-2018,13,GEORGIA,GA,Statesboro STEAM Academy,Commission Charter Schools- CCAT School,1,,GA-7830103,1300005,GA-7830103-0103,130001000000.0,1302626,1718 Norhtside Drive East,,,Stateboro,GA,30458,,1718 Norhtside Drive East,,,Stateboro,GA,30458,,(912)764-5888,http://www.chartercat.org,1,Open,1,Open,3/14/2018,Regular School,1,No,No,Yes,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6,12,High,As reported
24106,2017-2018,13,GEORGIA,GA,Odyssey Charter School,State Charter Schools- Odyssey School,1,,GA-7820110,1300023,GA-7820110-0110,130002000000.0,1303482,14 Saint John Cir,,,Newnan,GA,30265,,14 Saint John Cir,,,Newnan,GA,30265,,(770)251-6111,http://www.odysseycharterschool.net,1,Open,1,Open,3/14/2018,Regular School,1,No,No,Yes,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,8,Elementary,As reported
24107,2017-2018,13,GEORGIA,GA,Department of Corrections,Department of Corrections,1,,GA-890,1300025,GA-890-0198,130003000000.0,1303648,Hardin Library P.O. Box 1529,,,Forsyth,GA,31029,,300 Patrol Rd,,,Forsyth,GA,31029,,(478)992-5916,http://www.dcor.state.ga.us/,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,N,Not Applicable,As reported
24108,2017-2018,13,GEORGIA,GA,Crisp RYDC,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-0205,130003000000.0,1303487,130 Haralson Rd,,,Cordele,GA,31015,,130 Haralson Rd,,,Cordele,GA,31015,,(229)271-4901,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,8,10,Secondary,As reported
24109,2017-2018,13,GEORGIA,GA,Augusta Youth Development Campus,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-0298,130003000000.0,1303488,3481 Mike Padgett Hwy,,,Augusta,GA,30906,,3481 Mike Padgett Hwy,,,Augusta,GA,30906,,(706)792-7521,http://www.djj.state.ga.us,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,8,12,High,As reported
24110,2017-2018,13,GEORGIA,GA,Macon Youth Development Campus,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-0598,130003000000.0,1303490,4160 Riggins Mill Rd,,,Macon,GA,31217,,4160 Riggins Mill Rd,,,Macon,GA,31217,,(478)751-3432,http://www.djj.state.ga.us,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,8,12,High,As reported
24111,2017-2018,13,GEORGIA,GA,Eastman Youth Development Campus,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-0898,130003000000.0,1303492,176 Freaman Graham Blvd,,,Eastman,GA,31023,,176 Freaman Graham Blvd,,,Eastman,GA,31023,,(478)374-6910,http://www.djj.state.ga.us,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24112,2017-2018,13,GEORGIA,GA,Albany Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-1298,130003000000.0,1303496,2030 Newton Rd,,,Albany,GA,31701,,2030 Newton Rd,,,Albany,GA,31701,,(229)430-1958,http://www.djj.state.ga.ga.us,2,Closed,2,Closed,3/14/2018,Alternative School,4,No,No,No,,,,,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,M,M,Not Reported,As reported
24113,2017-2018,13,GEORGIA,GA,Augusta Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-1498,130003000000.0,1303498,3485 Mike Padgett Hwy,,,Augusta,GA,30906,,3485 Mike Padgett Hwy,,,Augusta,GA,30906,,(706)771-7854,http://www.djj.state.ga.us,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,8,9,Secondary,As reported
24114,2017-2018,13,GEORGIA,GA,Martha K. Glaze Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-1698,130003000000.0,1303500,11850 Hastings Bridge Rd,,,Hampton,GA,30228,,11850 Hastings Bridge Rd,,,Hampton,GA,30228,,(770)603-4664,http://www.djj.state.ga.us,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,9,10,Secondary,As reported
24115,2017-2018,13,GEORGIA,GA,Claxton Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-1798,130003000000.0,1303501,3609 Bill Hodges Rd,,,Claxton,GA,30417,,3609 Bill Hodges Rd,,,Claxton,GA,30417,,(912)739-4807,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,8,11,Secondary,As reported
24116,2017-2018,13,GEORGIA,GA,Elbert Shaw Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-1998,130003000000.0,1303503,2735 Underwood Rd NE,,,Dalton,GA,30721,,2735 Underwood Rd NE,,,Dalton,GA,30721,,(706)272-2309,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,10,11,Secondary,As reported
24117,2017-2018,13,GEORGIA,GA,DeKalb Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-2098,130003000000.0,1303504,2946 Clifton Springs Rd,,,Decatur,GA,30034,,2946 Clifton Springs Rd,,,Decatur,GA,30034,,(404)244-2183,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,7,11,Secondary,As reported
24118,2017-2018,13,GEORGIA,GA,Eastman Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-2198,130003000000.0,1303505,181 Industrial Blvd,,,Eastman,GA,31023,,181 Industrial Blvd,,,Eastman,GA,31023,,(912)374-6766,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,9,10,Secondary,As reported
24119,2017-2018,13,GEORGIA,GA,Gainesville Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-2298,130003000000.0,1303506,450 Crescent Dr,,,Gainesville,GA,30501,,450 Crescent Dr,,,Gainesville,GA,30501,,(770)535-5457,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,8,10,Secondary,As reported
24120,2017-2018,13,GEORGIA,GA,Macon Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-2598,130003000000.0,1303509,4164 Riggins Mill Rd,,,Macon,GA,31217,,4164 Riggins Mill Rd,,,Macon,GA,31217,,(912)751-3400,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,7,11,Secondary,As reported
24121,2017-2018,13,GEORGIA,GA,Marietta Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-2698,130003000000.0,1303510,1575 County Services Pkwy SW,,,Marietta,GA,30008,,1575 County Services Pkwy SW,,,Marietta,GA,30008,,(770)528-4247,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,6,11,Secondary,As reported
24122,2017-2018,13,GEORGIA,GA,Bob Richards Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-2798,130003000000.0,1303511,200 Marable Way NW,,,Rome,GA,30165,,200 Marable Way NW,,,Rome,GA,30165,,(706)295-6035,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,7,11,Secondary,As reported
24123,2017-2018,13,GEORGIA,GA,Sandersville Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-2898,130003000000.0,1303512,423 Industrial Dr,,,Sandersville,GA,31082,,423 Industrial Dr,,,Sandersville,GA,31082,,(912)552-3919,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,9,11,Secondary,As reported
24124,2017-2018,13,GEORGIA,GA,Savannah Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-2998,130003000000.0,1303513,191 Carl Griffin Dr,,,Savannah,GA,31405,,191 Carl Griffin Dr,,,Savannah,GA,31405,,(912)652-3879,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,6,11,Middle,As reported
24125,2017-2018,13,GEORGIA,GA,T J Loftiss II Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-3098,130003000000.0,1303514,400 S Pinetree Blvd,,,Thomasville,GA,31792,,400 S Pinetree Blvd,,,Thomasville,GA,31792,,(912)227-2764,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,8,10,Secondary,As reported
24126,2017-2018,13,GEORGIA,GA,Waycross Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-3198,130003000000.0,1303515,3275 Harris Rd,,,Waycross,GA,31503,,3275 Harris Rd,,,Waycross,GA,31503,,(912)287-6680,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,7,9,Middle,As reported
24127,2017-2018,13,GEORGIA,GA,Metro Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-4198,130003000000.0,1303517,1300 Constitution Rd SE,,,Atlanta,GA,30316,,1300 Constitution Rd SE,,,Atlanta,GA,30316,,(404)635-4415,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,7,11,Secondary,As reported
24128,2017-2018,13,GEORGIA,GA,Sumter Youth Development Campus,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-5001,130003000000.0,1303518,300 McMath Mill Rd,,,Americus,GA,31719,,300 McMath Mill Rd,,,Americus,GA,31719,,(229)931-5800,http://frankspearman@djj.state.ga.us.,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7,12,High,As reported
24129,2017-2018,13,GEORGIA,GA,Muscogee Youth Development Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-0405,130003000000.0,1303650,7700 Chattsworth Rd,,,Midland,GA,31820,,7700 Chattsworth Rd,,,Midland,GA,31820,,(706)569-2863,http://www.djj.state.ga.us,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,7,12,High,As reported
24130,2017-2018,13,GEORGIA,GA,Aaron Cohn Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-1898,130003000000.0,1303806,7700 Chattsworth Rd,,,Midland,GA,31820,,7700 Chattsworth Rd,,,Midland,GA,31820,,(706)568-2498,,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6,12,High,As reported
24131,2017-2018,13,GEORGIA,GA,Atlanta Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-0104,130003000000.0,1304089,5651 Stonewall Tell Rd,,,College Park,GA,30349,,5651 Stonewall Tell Rd,,,College Park,GA,30349,,(404)656-4522,,1,Open,1,Open,3/14/2018,Special Education School,2,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6,12,High,As reported
24132,2017-2018,13,GEORGIA,GA,Rockdale RYDC,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-0414,130003000000.0,1304141,2165 Chambers Dr NW,,,Conyers,GA,30012,,2165 Chambers Dr NW,,,Conyers,GA,30012,,(706)785-2496,,1,Open,1,Open,3/14/2018,Special Education School,2,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,8,11,Secondary,As reported
24133,2017-2018,13,GEORGIA,GA,Millegeville ITU,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-4199,130003000000.0,1304194,800 N Glynn St,,,Milledgeville,GA,31061,,800 N Glynn St,,,Milledgeville,GA,31061,,(478)445-3075,,1,Open,1,Open,3/14/2018,Special Education School,2,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,8,12,High,As reported
24134,2017-2018,13,GEORGIA,GA,Terrell Regional Youth Detention Center,Department of Juvenile Justice,1,,GA-891,1300026,GA-891-4203,130003000000.0,1304269,1666 Albany Hwy,,,Dawson,GA,39842,,1666 Albany Hwy,,,Dawson,GA,39842,,(404)508-6570,,3,New,3,New,3/14/2018,Special Education School,2,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,6,10,Middle,As reported
24135,2017-2018,13,GEORGIA,GA,Department of Human Resources,Department of Human Resources,1,,GA-892,1300027,GA-892-0198,130003000000.0,1303682,2 Peachtree Street NW,11 th floor,,Atlanta,GA,30303,,2 Peachtree Street NW,11 th floor,,Atlanta,GA,30303,,(404)657-0435,http://www.dhr.state.ga.us,1,Open,1,Open,3/14/2018,Alternative School,4,No,No,No,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,N,Not Applicable,As reported
24136,2017-2018,13,GEORGIA,GA,Appling County Primary School,Appling County,1,,GA-601,1300060,GA-601-0277,130006000000.0,1300006,678 Blackshear Hwy,,,Baxley,GA,31513,,678 Blackshear Hwy,,,Baxley,GA,31513,,(912)367-8642,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,2,Elementary,As reported
24137,2017-2018,13,GEORGIA,GA,Appling County Elementary School,Appling County,1,,GA-601,1300060,GA-601-0177,130006000000.0,1300007,680 Blackshear Hwy,,,Baxley,GA,31513,,680 Blackshear Hwy,,,Baxley,GA,31513,,(912)367-8640,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,3,5,Elementary,As reported
24138,2017-2018,13,GEORGIA,GA,Fourth District Elementary School,Appling County,1,,GA-601,1300060,GA-601-5050,130006000000.0,1300008,13396 Blackshear Hwy,,,Surrency,GA,31563,,13396 Blackshear Hwy,,,Surrency,GA,31563,,(912)367-3250,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24139,2017-2018,13,GEORGIA,GA,Appling County Middle School,Appling County,1,,GA-601,1300060,GA-601-0195,130006000000.0,1300009,2997 Blackshear Hwy,,,Baxley,GA,31513,,2997 Blackshear Hwy,,,Baxley,GA,31513,,(912)367-8630,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24140,2017-2018,13,GEORGIA,GA,Appling County High School,Appling County,1,,GA-601,1300060,GA-601-0103,130006000000.0,1300010,482 Blackshear Hwy,,,Baxley,GA,31513,,482 Blackshear Hwy,,,Baxley,GA,31513,,(912)367-8610,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24141,2017-2018,13,GEORGIA,GA,Altamaha Elementary School,Appling County,1,,GA-601,1300060,GA-601-1050,130006000000.0,1300011,344 Altamaha School Rd,,,Baxley,GA,31513,,344 Altamaha School Rd,,,Baxley,GA,31513,,(912)367-3713,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
