School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,Agency ID - NCES Assigned [Public School] Latest available year
ADAIRSVILLE HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,977,994,973,948,983,341,328,351,332,374,179,158,191,82,93,90,80,101,423,421,441,412,475,NA,NA,NA,NA,NA,977,994,973,948,983,1.30033E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Adairsville High School,Bartow County,13015,30103,Adairsville,32,15,977,983,0,0,801,869,66,48,71,47,6,3,1,1,1300330
ADAIRSVILLE MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,786,761,756,730,698,323,323,322,335,308,163,159,187,76,68,88,71,71,399,391,410,406,379,776,761,756,730,698,NA,NA,NA,NA,NA,1.30033E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Adairsville Middle School,Bartow County,13015,30103,Adairsville,30,18,786,698,0,0,659,606,30,33,63,36,3,4,1,1,1300330
ADAMSON MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,568,593,603,596,600,528,590,600,593,573,168,260,270,0,0,0,0,0,528,590,600,593,573,558,593,603,596,600,NA,NA,NA,NA,NA,1.30123E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Adamson Middle School,Clayton County,13063,30273,Rex,14,12,568,600,0,1,14,19,412,471,115,82,10,15,3,0,1301230
ADAMSVILLE PRIMARY SCHOOL,Georgia,NA,NA,11-City: Large,11-City: Large,11-City: Large,NA,NA,383,404,413,NA,NA,383,401,413,NA,NA,244,NA,NA,0,0,0,NA,NA,383,401,413,NA,NA,217,258,251,NA,NA,NA,NA,NA,1.30012E+11,NA,NA,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,NA,NA,Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),NA,NA,NA,NA,NA,NA,NA,NA,2,NA,413,NA,0,NA,0,NA,396,NA,15,NA,0,NA,0,1300120
ADDISON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,597,631,613,617,597,132,166,181,169,136,56,69,82,27,38,27,27,43,159,204,208,196,179,487,514,495,507,493,NA,NA,NA,NA,NA,1.30129E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Addison Elementary School,Cobb County,13067,30066,Marietta,23,32,597,597,0,2,326,336,97,72,105,110,42,42,4,3,1301290
ADRIAN SCHOOL OF PERFORMING ARTS,Georgia,NA,NA,NA,NA,42-Rural: Distant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30204E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1302040
ALBANY HIGH SCHOOL,Georgia,NA,NA,13-City: Small,13-City: Small,13-City: Small,NA,NA,808,837,831,NA,NA,808,834,831,NA,NA,805,NA,NA,0,0,0,NA,NA,808,834,831,NA,NA,NA,NA,NA,NA,NA,808,837,831,1.30183E+11,NA,NA,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,NA,NA,Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),NA,NA,NA,NA,NA,NA,NA,NA,12,NA,831,NA,5,NA,56,NA,732,NA,7,NA,4,NA,15,1301830
ALBANY MIDDLE SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,982,988,797,750,625,982,589,797,747,625,665,589,794,0,0,0,0,0,982,589,797,747,625,972,988,797,750,625,NA,NA,NA,NA,NA,1.30183E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Albany Middle School,Dougherty County,13095,31705,Albany,13,5,982,625,0,1,31,30,919,576,15,9,0,4,4,0,1301830
ALBANY REGIONAL YOUTH DETENTION CENTER,Georgia,NA,NA,13-City: Small,13-City: Small,13-City: Small,NA,NA,4,1,5,NA,NA,NA,.,.,NA,NA,NA,NA,NA,NA,.,.,NA,NA,NA,.,.,NA,NA,1,1,4,NA,NA,3,NA,1,1.30003E+11,NA,NA,6-Not a Title I school,2-Title I targeted assistance school,2-Title I targeted assistance school,NA,NA,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,NA,0,NA,0,NA,5,NA,0,NA,0,NA,0,1300026
ALCOVA ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1426,1364,1308,1237,1156,717,707,685,668,592,222,335,289,153,151,128,98,129,870,858,813,766,721,1191,1111,1100,1036,988,NA,NA,NA,NA,NA,1.30255E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alcova Elementary School,Gwinnett County,13135,30019,Dacula,58,46,1426,1156,3,1,207,210,733,614,350,260,74,25,1,0,1302550
ALCOVY HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1934,1962,1993,1964,2029,932,1053,1081,1050,1044,584,623,657,201,206,195,204,188,1133,1259,1276,1254,1232,NA,NA,NA,NA,NA,1934,1962,1993,1964,2029,1.30393E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Alcovy High School,Newton County,13217,30014,Covington,77,80,1934,2029,0,0,610,780,1095,1065,139,86,11,15,2,3,1303930
ALEXANDER HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1828,1891,1805,1737,1729,569,606,570,554,530,271,325,290,130,112,105,96,111,699,718,675,650,641,NA,NA,NA,NA,NA,1828,1891,1805,1737,1729,1.30186E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Alexander High School,Douglas County,13097,30135,Douglasville,89,62,1828,1729,1,1,1020,1096,510,419,185,134,22,15,1,2,1301860
ALEXANDER II MAGNET SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,494,509,518,524,526,488,505,513,519,518,148,173,174,0,0,0,0,0,488,505,513,519,518,382,415,406,419,434,NA,NA,NA,NA,NA,1.30042E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alexander II Magnet School,Bibb County,13021,31201,Macon,22,19,494,526,0,1,61,165,381,317,17,14,12,10,1,0,1300420
ALFORD ELEMENTARY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,935,931,949,921,1005,630,665,641,653,691,233,343,289,98,106,129,96,116,728,771,770,749,807,781,764,795,774,837,NA,NA,NA,NA,NA,1.30255E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alford Elementary,Gwinnett County,13135,30044,Lawrenceville,29,21,935,1005,1,1,91,127,230,287,492,447,92,120,0,2,1302550
ALICE COACHMAN ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,506,499,517,567,560,506,347,517,564,560,349,337,396,0,0,0,0,0,506,347,517,564,560,390,421,411,430,425,NA,NA,NA,NA,NA,1.30183E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Alice Coachman Elementary School,Dougherty County,13095,31707,Albany,3,0,506,560,0,0,19,41,478,513,6,5,0,1,0,0,1301830
ALLATOONA ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,21-Suburb: Large,21-Suburb: Large,438,425,435,448,465,292,305,308,327,343,128,103,186,37,36,38,31,29,329,341,346,358,372,328,345,353,356,368,NA,NA,NA,NA,NA,1.30033E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Allatoona Elementary School,Bartow County,13015,30102,Acworth,23,15,438,465,0,0,246,314,23,19,145,115,0,2,1,0,1300330
ALLATOONA HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1731,1734,1715,1770,1820,202,209,243,247,286,77,79,89,88,94,81,78,84,290,303,324,325,370,NA,NA,NA,NA,NA,1731,1734,1715,1770,1820,1.30129E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Allatoona High School,Cobb County,13067,30101,Acworth,63,45,1731,1820,3,3,1095,1248,336,320,174,155,57,45,3,4,1301290
ALLEN ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,458,432,469,474,457,432,408,469,301,279,176,206,188,0,0,0,42,38,432,408,469,343,317,371,361,410,399,378,NA,NA,NA,NA,NA,1.30387E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Allen Elementary School,Muscogee County,13215,31904,Columbus,25,26,458,457,2,0,176,226,125,110,115,74,14,16,1,5,1303870
ALLGOOD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,587,555,598,578,647,587,477,514,520,510,306,302,313,0,21,29,29,37,587,498,543,549,547,430,416,443,433,490,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Allgood Elementary School,DeKalb County,13089,30083,Stone Mountain,9,9,587,647,0,0,5,10,472,580,34,31,64,17,3,0,1301740
ALLGOOD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,902,914,855,872,879,490,440,456,452,466,264,208,247,96,103,80,87,90,586,543,536,539,556,720,741,718,715,727,NA,NA,NA,NA,NA,1.30402E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Allgood Elementary School,Paulding County,13223,30157,Dallas,57,42,902,879,1,0,432,490,306,239,96,97,10,10,0,1,1304020
